Organization,AUM (USD),Agriculture Focus,Alignment with Saudi Vision 2030,Aquaculture Focus,Category,Check Size Max USD,Check Size Min USD,Co-Investment Potential,Confidence,Contact Name,Decision Maker LinkedIn URL,Decision Maker Name,Decision Maker Title,ESG/Impact Orientation,Email,Event,Follow-up Date,Geographic Focus,Geographic Focus (Enhanced),HQ Country,Impact Evidence URL,Instrument Type,Investment Approach,Investment Areas,Investment Thesis,Investor Type,Last Verified,MENA Experience,Next Action,Notes,Organization LinkedIn URL,Outreach Priority,Phone,Portfolio Examples,Position,Previous Aquaculture Investments,Priority Score,Regions Open to Explore,Research Sources,Saudi Evidence,Saudi Experience,Saudi Focus,Secondary Contact LinkedIn,Secondary Contact Name,Secondary Contact Title,Source,Stage Focus,Stage of Communication,Subsector Focus,Target Sector,Technical Expertise in RAS,Ticket Size,Typical Ticket Size (USD Million),Value-Chain Focus,Website
MAFF,,,,Indirect,Investment,,,"Medium - Japan Ministry of Agriculture, Forestry and Fisheries attending GAI Asia. While regulatory body, MAFF administers substantial subsidy programs, grants, and co-financing schemes for agriculture/aquaculture projects that align with Japan's food security objectives. May facilitate: (1) subsidized loans, (2) grant co-funding, (3) government guarantee programs, or (4) introductions to Japanese investors. Particularly interested in overseas food production securing supply chains to Japan. Al-Birk's seafood export potential to Japan could unlock MAFF support programs or facilitate connections to Japanese trading companies and institutional investors.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,"Japan Ministry of Agriculture, Forestry and Fisheries. Government regulatory and policy body. Does not invest in commercial projects - provides policy framework, subsidies, and regulatory oversight.","Agriculture, Aquaculture, Food Systems",,Government Agency,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,"None - Japanese Ministry of Agriculture, Forestry and Fisheries. Government agency, not an investor. Regulates and supports aquaculture but no investment track record",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,3654
Vegekul,,,,Indirect,Investment,,,"None - Operating company, not an investor",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan,,,"Operating company, not an investor. Appears to be agriculture/food production operator.","Agriculture, Aquaculture, Food Systems",,Unknown,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Unknown - Limited information available. Conference attendance suggests agriculture interest but entity type and track record unclear,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Trifolium Farms,N/A - Operating company,,,Direct,Investment,,,N/A - Operating farm,0,,,Unknown,Unknown,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Denmark (possibly),,,"NOT AN INVESTOR - Appears to be related to DLF Trifolium, a Danish seed company specializing in grass and clover seeds for agriculture, turf, and forage. DLF is a farmer cooperative founded 1906. If Trifolium Farms attended conference, likely as agricultural operator, seed supplier, or looking for investment rather than providing capital. Should be removed from investor pipeline or moved to 'Operating Companies/Suppliers' category.","Agriculture, Aquaculture, Food Systems",,Agricultural Operator,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Research Only,,,,"None - Agricultural operating company (farm operator), not an investor. Seeking capital rather than providing it",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
"Tokio Marine Holdings, Inc.",,,,Indirect,Investment,,,Medium - Large insurance company with strategic investment capacity; could co-invest in large-scale projects $50M+,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,"Major Japanese insurance holding company with significant investment portfolio. If attended agriculture conference, likely has strategic investment arm for agriculture/food sector. Has startup fund (Tokio Marine Future Fund) and infrastructure investments. Could co-invest in large-scale projects ($50m+) with strategic alignment.","Agriculture, Aquaculture, Food Systems",,Insurance Company,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Limited - Major Japanese insurance group. May have indirect exposure via institutional portfolios but no direct aquaculture investments,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,3655
Bolschare,€300 million (BBIAF fund),,,Indirect,Investment,,,Medium - Mediterranean agriculture focus,0,,,"Borja de Roda, Jaime Vázquez, Santiago de Cárdenas",Fund Managers (now moved to Gannet Partners),Yes,,Global AgInvesting Asia,"November 3, 2025","Spain, Portugal, Iberia",,Spain,,,"Private equity agribusiness fund - Bolschare partnered with Beka Asset Management to launch the Beka & Bolschare Iberian Agribusiness Fund (BBIAF), a €300M private equity fund focused on sustainable agriculture in Spain and Portugal. Invests in acquiring, managing, and operating farmland (especially olive groves and permanent crops) with advanced sustainability standards. Article 9 SFDR classification. Currently manages 2,750 hectares across 9 companies. Note: Management team moved to Gannet Partners SGEIC in 2025 to launch successor fund. Good fit for strategic partnerships in Mediterranean agriculture.","Agriculture, Aquaculture, Food Systems",ESG/Impact First,Private Equity Fund,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Cold Prospect,,,,None identified - Mediterranean agriculture PE fund. Focus appears to be crops/farming rather than aquaculture,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,"2,750 hectares under management - olives, almonds, walnuts, pistachios in Spain/Portugal","Iberian agribusiness - olive groves, nuts, permanent crops",,,,,4429
Berg Earth Co,,,,Indirect,Investment,,,"Medium - Japan-based agriculture/sustainability company attending GAI Asia. Operating company seeking partnerships or with potential corporate venture arm. Japanese agriculture operators at AgInvesting often explore: (1) overseas JV opportunities, (2) technology partnerships, (3) supply chain investments, or (4) strategic M&A. May seek co-investment in projects that align with their operations. Requires follow-up to determine if they have investment capacity or seeking strategic partnership opportunities.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan,,,Agriculture/sustainability operating company in Asia - appears to be an operator seeking investment rather than providing it. May be involved in regenerative agriculture or sustainable farming operations. Not an investor in new aquaculture SPVs.,"Agriculture, Aquaculture, Food Systems",,Operating Company (not investor),,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Research Only,,,,"None - Operating company seeking capital, not an investor. No investment track record",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,"Regenerative Agriculture (operating company, not investor)",,,,,
Arc Network,,,,Indirect,Investment,,,"Low - Japan-based attendee at GAI Asia but insufficient information to determine role. 'Arc Network' may be: (1) networking platform/event organizer, (2) misidentified attendee, or (3) niche agriculture network. Without confirming entity type and investment capacity, unable to assess co-investment potential. Low priority unless additional information confirms direct investment mandate or capital facilitation role. May be non-investor attendee (consultant, service provider, or platform).",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan,,,"Insufficient information - Multiple entities named 'Arc Network' exist (telecom consultancy, agri-network platforms) but unable to identify specific organization from GAI Asia conference. May be networking platform or misidentified attendee. Not a confirmed capital provider for SPV investments.","Agriculture, Aquaculture, Food Systems",,Network/Platform (not investor),,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,"None - Network/platform connecting agriculture stakeholders, not an investor. No investment track record",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,Unable to verify - insufficient data,,,,,
Trade & Investment Queensland,,,,Indirect,Investment,,,"Medium - Queensland government trade agency attending GAI Asia to promote investment into Queensland and facilitate outbound Queensland investment. State economic development agencies increasingly co-invest in projects that benefit their regions. Can facilitate: (1) introductions to Queensland superannuation funds and institutional investors, (2) Australian government co-investment programs, (3) offtake connections to Australian seafood distributors, (4) technical partnerships with Queensland aquaculture expertise (barramundi, prawns). Not direct co-investor but valuable for accessing Australian institutional capital and government co-financing schemes.",0,,,,,No,,Global AgInvesting Asia,"November 10, 2025",Australia/Oceania,,Australia (Brisbane),,,"Queensland state government trade and investment promotion agency. Facilitates investments into Queensland but does not directly invest. Provides support services, introductions, and market intelligence.","Agriculture, Aquaculture, Food Systems",,Government Economic Development Agency,,No,Initial outreach with teaser,Global AgInvesting Asia participant,,,,,,None - Queensland government economic development agency. Promotes trade/investment but does not invest capital; not an investor,78,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,3656
Banco do Brasil SA,R$230 billion agricultural lending (2025/26),,,Indirect,Investment,,,Low - Primarily debt financing for Brazilian projects,0,,,Tarciana Medeiros,CEO,No,,Global AgInvesting Asia,"November 10, 2025",Latin America,,Brazil,,,Major Brazilian state-owned bank providing subsidized agricultural loans through Plano Safra program (R$230B for 2025/26 cycle). Primarily lends to farmers and agribusiness through debt facilities rather than investing equity in new SPVs. Leading Brazilian agricultural lender with extensive agribusiness portfolio (R$130B+). Could potentially provide debt financing for large-scale Brazilian agricultural projects but not suitable as equity investor. Focus on established Brazilian agricultural operations with proven track records.,"Agriculture, Aquaculture, Food Systems",,Bank,,No,Initial outreach with teaser,Global AgInvesting Asia participant,,Cold Prospect,,,,Limited - Brazilian bank with agriculture lending focus. May have provided debt financing to aquaculture projects in Brazil but limited equity investment track record,70,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,"Brazilian agricultural lending (debt, not equity)",,,,,
Perfection Fresh Australia,,,,Indirect,Investment,,,"None - Operating company (grower/distributor), not an investor",0,,,,,No,,Global AgInvesting Asia,"November 10, 2025",Australia/Oceania,,Australia (Sydney),,,"Australian fresh produce company - grower, wholesaler and distributor. Operating company, not an investor. Owns farms and operations but does not invest in external projects or SPVs.","Agriculture, Aquaculture, Food Systems",,Agricultural Company,,No,Initial outreach with teaser,Global AgInvesting Asia participant,,,,,,None - Australian fresh produce company (fruits/vegetables). Operating company not investor; no aquaculture involvement,70,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,3657
